label,uri
"1,4-dioxanes",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001313
"1,4-dioxepanes",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002946
"1,4-dioxepines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002942
"1,4-diselenins",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003694
"1,4-disubstituted quinolizidines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003786
"1,4-isoquinolinediones",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002933
"1,4-oxathiin carboxamides",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004217
"1,4-oxazepines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001339
"1,4-oxazines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001342
"1,4-thiazines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001349
"1,5-diarylbiguanides",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004535
"1,8-naphthalic anhydrides",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003071
"1-(1Z-alkenyl),2-acyl-glycerols",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003825
"1-(1Z-alkenyl),2-acyl-glycerophosphates",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001397
"1-(1Z-alkenyl),2-acyl-glycerophosphocholines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003827
"1-(1Z-alkenyl),2-acylglycerophosphoethanolamines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003832
"1-(1Z-alkenyl),2-acylglycerophosphoglycerols",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003840
"1-(1Z-alkenyl),2-acylglycerophosphoglycerophosphates",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003847
"1-(1Z-alkenyl),2-acylglycerophosphoinositols",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003849
"1-(1Z-alkenyl),2-acylglycerophosphoserines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001407
"1-(1Z-alkenyl),3-acyl-glycerol-2-phosphocholines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004228
"1-(1Z-alkenyl),3-acyl-glycerophosphates",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004227
"1-(1Z-alkenyl),3-acylglycerophosphoethanolamines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004178
1-(1Z-alkenyl)-glycero-3-phosphates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003287
1-(1Z-alkenyl)-glycero-3-phosphocholines,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001847
1-(1Z-alkenyl)-glycero-3-phosphoethanolamines,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003834
1-(1Z-alkenyl)glycerophosphoglycerols,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003843
1-(1Z-alkenyl)glycerophosphoinositols,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003852
1-O-alkyl-sn-glycerols,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004275
1-O-alkylglycerols,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004274
"1-acyl,2-(1Z-alkenyl)-glycerophosphocholines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003826
"1-acyl,2-alkylglycero-3-phosphocholines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003828
"1-acyl,2-alkylglycerols",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003812
"1-acyl,2-alkylglycerophosphoethanolamines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001409
"1-acyl,2-alkylglycerophosphoglycerols",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001298
1-acyl-3-O-beta-D-digalactosyl-sn-glycerols,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003343
1-acyl-3-O-beta-D-galactosyl-sn-glycerols,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003341
1-acyl-glycerol-3-phosphoserines,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001681
1-acyl-sn-glycero-3-phosphocholines,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001638
1-acyl-sn-glycero-3-phosphoethanolamines,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001677
"1-acyl-sn-glycerol-2,3-cyclic-phosphates",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002688
1-acyl-sn-glycerol-3-phosphoinositols,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002101
1-acylglycerol-2-phosphates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001684
1-acylglycerol-3-phosphates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001685
"1-alkyl,2-acetylglycero-3-phosphocholines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004262
"1-alkyl,2-acyl-glycerol-3-phosphoserines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001395
"1-alkyl,2-acylglycero-3-phosphocholines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003829
"1-alkyl,2-acylglycerols",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003813
"1-alkyl,2-acylglycerophosphates",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001404
"1-alkyl,2-acylglycerophosphoethanolamines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003830
"1-alkyl,2-acylglycerophosphoglycerols",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003839
"1-alkyl,2-acylglycerophosphoglycerophosphates",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003846
"1-alkyl,2-acylglycerophosphoinositols",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003848
"1-alkyl,3-acylglycerols",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003811
"1-alpha,2-epoxy-3-oxo-5-alpha-steroids",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003246
1-aminocyclopropane-1-carboxylic acids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002527
1-aminocyclopropane-1-carboxylic acids and derivatives,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002526
1-aminopyrazinium compounds,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003362
1-arylbiguanides,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004536
1-aryltetralin lactones,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001625
1-azafluoranthenes,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003607
1-azaoxoaporphines,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003019
1-benzopyrans,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003410
1-benzothiophene-2-carboxanilides,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004692
1-benzothiophenes,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004293
1-benzothiopyrans,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003413
