source_a,source_b,jaccard
restriction_process,pesticides,9.293680297397769e-4
restriction_process,pops_list,0.03125
restriction_process,pops_process,0
restriction_process,reach_registrations,7.62291957819845e-4
restriction_process,restriction_list,0.24324324324324326
restriction_process,restriction_process,1
restriction_process,sommatie_stoffen,0
restriction_process,substance_evaluation,0.008982035928143712
restriction_process,svhc_identification,0.03125
sommatie_stoffen,authorisation_list,0
sommatie_stoffen,authorisation_process,0.02097902097902098
sommatie_stoffen,candidate_list,0.015810276679841896
sommatie_stoffen,clh_process,0.0025188916876574307
sommatie_stoffen,dossier_evaluation,0.0010799136069114472
sommatie_stoffen,ed_assessment,0
sommatie_stoffen,eu_positive_list,8.613264427217916e-4
sommatie_stoffen,harmonised_list,0.003639672429481347
sommatie_stoffen,pbt_assessment,0.004761904761904762
sommatie_stoffen,pesticides,0.0036068530207394047
sommatie_stoffen,pops_list,0
sommatie_stoffen,pops_process,0
sommatie_stoffen,reach_registrations,6.337135614702154e-4
sommatie_stoffen,restriction_list,0
sommatie_stoffen,restriction_process,0
sommatie_stoffen,sommatie_stoffen,1
sommatie_stoffen,substance_evaluation,0
sommatie_stoffen,svhc_identification,0.015209125475285171
substance_evaluation,authorisation_list,0.00273224043715847
substance_evaluation,authorisation_process,0.012135922330097087
substance_evaluation,candidate_list,0.04142011834319527
substance_evaluation,clh_process,0.09548254620123203
substance_evaluation,dossier_evaluation,0.10021629416005767
substance_evaluation,ed_assessment,0.19241192411924118
substance_evaluation,eu_positive_list,0.08725341426403642
substance_evaluation,harmonised_list,0.04009296920395119
substance_evaluation,pbt_assessment,0.23273657289002558
substance_evaluation,pesticides,0.01764705882352941
substance_evaluation,pops_list,0
substance_evaluation,pops_process,0
substance_evaluation,reach_registrations,0.020458733083423344
substance_evaluation,restriction_list,0.011461318051575931
substance_evaluation,restriction_process,0.008982035928143712
substance_evaluation,sommatie_stoffen,0
substance_evaluation,substance_evaluation,1
substance_evaluation,svhc_identification,0.05078125
svhc_identification,authorisation_list,0.20276497695852536
svhc_identification,authorisation_process,0.43317972350230416
svhc_identification,candidate_list,0.9095022624434389
svhc_identification,clh_process,0.056043956043956046
svhc_identification,dossier_evaluation,0.0264808362369338
svhc_identification,ed_assessment,0.047021943573667714
svhc_identification,eu_positive_list,0.03590944574551132
svhc_identification,harmonised_list,0.043243243243243246
svhc_identification,pbt_assessment,0.09302325581395349
svhc_identification,pesticides,0.0070921985815602835
svhc_identification,pops_list,0.008620689655172414
svhc_identification,pops_process,0.0045662100456621
svhc_identification,reach_registrations,0.010961855278164997
svhc_identification,restriction_list,0.029166666666666667
svhc_identification,restriction_process,0.03125
svhc_identification,sommatie_stoffen,0.015209125475285171
svhc_identification,substance_evaluation,0.05078125
svhc_identification,svhc_identification,1
