n,days
1367,9337
1368,9351
1369,9364
1370,9378
1371,9392
1372,9406
1373,9419
1374,9433
1375,9447
1376,9460
1377,9474
1378,9488
1379,9502
1380,9516
1381,9529
1382,9543
