inchikey,n_cas
AOJFQRQNPXYVLM-UHFFFAOYSA-N,1
AOJOEFVRHOZDFN-UHFFFAOYSA-N,1
AOKZLBCDXJYXOK-QXMHVHEDSA-N,1
AOLBEQUOGFLYBT-UHFFFAOYSA-N,1
AOMUHOFOVNGZAN-UHFFFAOYSA-N,1
AOMZHDJXSYHPKS-UHFFFAOYSA-L,1
AONJRPXZCVADKF-UHFFFAOYSA-L,1
AOOAEHIAZBYEDV-UHFFFAOYSA-N,1
AOOKHLGAVNECET-UHFFFAOYSA-N,1
AOPBDRUWRLBSDB-UHFFFAOYSA-N,1
AOQMRUTZEYVDIL-UHFFFAOYSA-N,1
AOQNDOQWDRFZEO-UHFFFAOYSA-N,1
AORMDLNPRGXHHL-UHFFFAOYSA-N,1
AOROKJCCSHCTIW-XQRVVYSFSA-N,1
AOXKMQKKNGSIBI-UHFFFAOYSA-N,1
AOZVYCWQGCZSPV-SBKWZQTDSA-N,1
APAIXFDPIJWPBF-UHFFFAOYSA-L,1
APAWRDGVSNYWSL-UHFFFAOYSA-N,1
APCBTRDHCDOPNY-SSDOTTSWSA-N,1
APFVFJFRJDLVQX-UHFFFAOYSA-N,1
APJLTUBHYCOZJI-VZCXRCSSSA-N,1
APJYDQYYACXCRM-UHFFFAOYSA-N,1
APJYHXJGXDPGBA-UHFFFAOYSA-N,1
APKKCRAKPMSAEI-UHFFFAOYSA-N,1
APMORJJNVZMVQK-UHFFFAOYSA-N,1
APNSGVMLAYLYCT-UHFFFAOYSA-N,1
APOYTRAZFJURPB-UHFFFAOYSA-N,1
APQHKWPGGHMYKJ-UHFFFAOYSA-N,1
APQSQLNWAIULLK-UHFFFAOYSA-N,1
APRNQTOXCXOSHO-UHFFFAOYSA-N,1
APRRQJCCBSJQOQ-UHFFFAOYSA-N,1
APSBXTVYXVQYAB-UHFFFAOYSA-M,1
APSMUYYLXZULMS-UHFFFAOYSA-N,1
APTSCAQNVBAWHJ-UHFFFAOYSA-N,1
APTZNLHMIGJTEW-UHFFFAOYSA-N,1
APUPEJJSWDHEBO-UHFFFAOYSA-P,1
APUUXJMNFYPFOE-UHFFFAOYSA-N,1
APWMBANPMBFWLA-UHFFFAOYSA-N,1
AQALQDMWXUIMHX-ARJAWSKDSA-N,1
AQAZLLYAEFBJMU-UHFFFAOYSA-N,1
AQBLLJNPHDIAPN-LNTINUHCSA-K,1
AQCDIIAORKRFCD-UHFFFAOYSA-N,1
AQCSCRYRCRORET-UHFFFAOYSA-N,1
AQEDWWHCJSXKHP-UHFFFAOYSA-N,1
AQFLVLHRZFLDDV-SECBINFHSA-N,1
AQFLVLHRZFLDDV-UHFFFAOYSA-N,1
AQFLVLHRZFLDDV-VIFPVBQESA-N,1
AQFWNELGMODZGC-UHFFFAOYSA-N,1
AQGUCJZGNGUPAD-UHFFFAOYSA-N,1
AQHHHDLHHXJYJD-UHFFFAOYSA-N,1
AQHKYFLVHBIQMS-UHFFFAOYSA-N,1
AQIHDXGKQHFBNW-ZCFIWIBFSA-N,1
AQIIVEISJBBUCR-UHFFFAOYSA-N,1
AQIXEPGDORPWBJ-UHFFFAOYSA-N,1
AQKDMKKMCVJJTC-UHFFFAOYSA-N,1
AQKYLAIZOGOPAW-UHFFFAOYSA-N,1
AQLJVWUFPCUVLO-UHFFFAOYSA-N,1
AQLLDCFUQXGLHM-UHFFFAOYSA-N,1
AQMKNVZQXJVVNL-UHFFFAOYSA-N,1
AQMRBJNRFUQADD-UHFFFAOYSA-N,1
AQNQQHJNRPDOQV-UHFFFAOYSA-N,1
AQNZDXHBYRTSHA-UHFFFAOYSA-N,1
AQOKTKOEOSDJRC-NJYHMWOTSA-N,1
AQQHXPJLFFJBCZ-UHFFFAOYSA-N,1
AQQPJNOXVZFTGE-UHFFFAOYSA-N,1
AQRLNPVMDITEJU-UHFFFAOYSA-N,1
AQRYNYUOKMNDDV-UHFFFAOYSA-M,1
AQTKXCPRNZDOJU-ZEBDFXRSSA-N,1
AQTSNQQRPNNYRB-UHFFFAOYSA-N,1
AQYCMVICBNBXNA-UHFFFAOYSA-N,1
AQYMRQUYPFCXDM-UHFFFAOYSA-N,1
AQZGPSLYZOOYQP-UHFFFAOYSA-N,1
AQZWKPDVWWJWRY-UHFFFAOYSA-N,1
ARAASMFWVHJHRC-UHFFFAOYSA-N,1
ARBOVOVUTSQWSS-UHFFFAOYSA-N,1
ARCAURIQGNHJJN-UHFFFAOYSA-N,1
ARCGXLSVLAOJQL-UHFFFAOYSA-N,1
ARFKGAAAOFWOOY-UHFFFAOYSA-N,1
ARFLASKVLJTEJD-UHFFFAOYSA-N,1
ARGCQEVBJHPOGB-UHFFFAOYSA-N,1
ARGKVCXINMKCAZ-UZRWAPQLSA-N,1
ARITXYXYCOZKMU-UHFFFAOYSA-N,1
ARIWANIATODDMH-UHFFFAOYSA-N,1
ARJWAURHQDJJAC-GQCTYLIASA-N,1
ARJWMUSCDIJFLB-GVVDHYSOSA-N,1
ARKIFHPFTHVKDT-UHFFFAOYSA-N,1
ARKKGZQTGXJVKW-VPCXQMTMSA-N,1
ARKZLYVKARRROA-UHFFFAOYSA-N,1
